player_visible,visibility_score,player_distance,noise_level,paranoia_level,has_investigation_target,action
1.0,0.247,61.2848,0.4132,0.5932,1.0,investigate
1.0,0.8061,100.8054,0.3597,0.4139,0.0,chase
0.0,0.2818,166.8033,0.1259,0.3981,1.0,investigate
0.0,0.0306,37.7893,0.0053,0.4519,0.0,alert
0.0,0.8356,42.5204,0.0,0.2181,0.0,patrol
0.0,0.2221,188.777,0.0286,0.3312,1.0,investigate
1.0,0.6112,60.1076,0.4121,0.5085,1.0,chase
1.0,0.6224,134.4246,0.515,0.887,1.0,chase
0.0,0.8148,30.6671,0.0,0.0869,0.0,patrol
0.0,0.7943,34.0222,0.0126,0.0268,0.0,patrol
0.0,0.1546,61.709,0.004,0.4052,0.0,alert
0.0,0.728,55.6609,0.0,0.04,0.0,patrol
0.0,0.6629,67.8334,0.0548,0.1677,0.0,patrol
0.0,0.1008,41.4566,0.0161,0.5372,0.0,alert
1.0,0.8299,58.4398,0.0691,0.7333,1.0,chase
0.0,0.7415,46.4131,0.0,0.0171,0.0,patrol
0.0,0.0154,58.3826,0.0789,0.4443,0.0,alert
0.0,0.8461,30.7567,0.0,0.0893,0.0,patrol
1.0,0.4592,37.3017,0.0154,0.3215,1.0,investigate
0.0,0.1256,68.9625,0.0002,0.8569,0.0,alert
0.0,0.7651,43.7709,0.0,0.24,0.0,patrol
0.0,0.0,51.1001,0.0047,0.9166,0.0,alert
1.0,0.5116,37.7179,0.1058,0.3514,1.0,investigate
1.0,0.5281,190.9925,0.3608,0.4659,1.0,chase
1.0,0.5291,112.698,0.3019,0.7357,1.0,chase
0.0,0.7546,120.5458,0.1913,0.9582,1.0,chase
0.0,0.8074,30.6123,0.0322,0.0349,0.0,patrol
0.0,0.8624,33.2761,0.0,0.1498,0.0,patrol
0.0,0.0752,153.2745,0.5371,0.6878,1.0,investigate
0.0,0.0128,73.6052,0.0,0.479,0.0,alert
0.0,0.2675,108.6604,0.4506,0.6411,1.0,investigate
0.0,0.6965,60.4446,0.0,0.1634,0.0,patrol
0.0,0.0415,63.3404,0.0,0.8218,0.0,alert
1.0,0.7435,63.8198,0.269,0.9133,1.0,chase
0.0,0.2389,94.3546,0.4941,0.624,1.0,investigate
0.0,0.8215,40.8226,0.0279,0.2141,0.0,patrol
0.0,0.1401,176.3795,0.0,0.3137,0.0,investigate
0.0,0.0,49.6384,0.0011,0.488,0.0,alert
0.0,0.6856,65.6787,0.0193,0.2573,0.0,patrol
0.0,0.1261,35.3352,0.0447,0.8319,0.0,alert
1.0,0.7545,141.5433,0.148,0.9596,1.0,chase
0.0,0.605,74.7149,0.0,0.0219,0.0,patrol
0.0,0.0,55.9907,0.0,0.4815,0.0,alert
0.0,0.1695,155.4221,0.4215,0.6031,0.0,investigate
1.0,0.4994,186.6715,0.3322,0.8298,1.0,chase
0.0,0.8683,33.1906,0.0,0.0,0.0,patrol
1.0,0.3582,83.0763,0.4083,0.5907,1.0,investigate
0.0,0.0382,65.507,0.0,0.343,0.0,alert
0.0,0.0885,70.2382,0.0593,0.7686,0.0,alert
1.0,0.1303,126.8401,0.5423,0.6874,1.0,investigate
0.0,0.1153,30.5643,0.0943,0.5006,0.0,alert
1.0,0.762,105.4145,0.5512,0.9603,1.0,chase
0.0,0.6625,72.8049,0.0,0.1442,0.0,patrol
0.0,0.1323,50.4129,0.0014,0.6894,0.0,alert
0.0,0.0812,49.0057,0.474,0.6426,1.0,investigate
0.0,0.0957,32.4719,0.0,0.7129,0.0,alert
0.0,0.7342,50.3539,0.066,0.024,0.0,patrol
0.0,0.7935,37.0911,0.0251,0.246,0.0,patrol
0.0,0.7053,59.7554,0.0,0.2938,0.0,patrol
0.0,0.742,56.0631,0.0254,0.0319,0.0,patrol
0.0,0.7946,49.2819,0.0,0.1223,0.0,patrol
0.0,0.058,68.6412,0.013,0.386,0.0,alert
0.0,0.3827,195.7753,0.1361,0.3795,1.0,investigate
1.0,0.6427,189.4001,0.1598,0.5646,1.0,chase
0.0,0.8055,37.8043,0.0051,0.1986,0.0,patrol
0.0,0.5506,146.676,0.4703,0.5928,1.0,investigate
0.0,0.0276,77.3489,0.0679,0.9175,0.0,alert
0.0,0.0777,52.0646,0.0,0.8932,0.0,alert
0.0,0.0296,119.576,0.3827,0.5558,1.0,investigate
0.0,0.0602,69.9189,0.0169,0.3361,0.0,alert
0.0,0.8003,37.8126,0.1272,0.1708,0.0,patrol
0.0,0.6594,64.0829,0.0043,0.048,0.0,patrol
0.0,0.1554,43.5971,0.077,0.6855,0.0,alert
0.0,0.0362,56.0394,0.073,0.7047,0.0,alert
1.0,0.818,194.7462,0.486,0.9218,1.0,chase
0.0,0.1049,46.3408,0.0,0.7909,0.0,alert
0.0,0.632,76.5251,0.0394,0.1917,0.0,patrol
0.0,0.1206,158.4768,0.3787,0.5891,1.0,investigate
1.0,0.7773,80.4657,0.1545,0.5976,1.0,chase
0.0,0.3967,138.932,0.2726,0.4867,1.0,investigate
0.0,0.7556,47.3095,0.0395,0.2467,0.0,patrol
0.0,0.0116,36.3324,0.0003,0.7507,0.0,alert
0.0,0.0576,46.5452,0.0345,0.5594,0.0,alert
1.0,0.7475,111.1825,0.3959,0.8571,1.0,chase
0.0,0.0194,215.748,0.2741,0.4567,1.0,investigate
0.0,0.139,170.276,0.2358,0.4189,1.0,investigate
0.0,0.0861,33.0352,0.0,0.5247,0.0,alert
0.0,0.0517,61.8828,0.0035,0.788,0.0,alert
